modulecode,fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G50ALG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G50PRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G50WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51APS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51CSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51FUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51HOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51IAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51IRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51ISE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51ISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51MCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51PRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51SCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51TUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G51WPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52ADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52AFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52AIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52AIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52CCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52CFJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52CMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52CON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52DOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52DOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52GRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52GUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52HCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52HPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52IVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52IWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52LSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52MAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52MC2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52NEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52OBJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G52TUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53ACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53AGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53ASD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53CFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53DBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53DDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53DIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53DSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53ELC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53FSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53GEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53IDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53IDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53IDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53IDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53KRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53NSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53ORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53POP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53SEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53SRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G53VIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G54AIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G54AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G54CFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G54DSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G54FOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G54GAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G54HSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G54NSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G54PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G54PLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G54PRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G54UBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G54URP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G54VAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64ADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64FAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64HLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64ICP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64IDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64IHF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64OOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64PMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64PMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64SPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G64SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
